timestep,wind_available_mw,curtailment_mw,power_optimized_mw,online_status,electricity_price,h2_produced_kg_h,h2_demand_kg_h,demand_slack_kg_h,demand_met,cost_eur,grid_import_mw,grid_export_mw,storage_level_kg,storage_charge_kg_h,storage_discharge_kg_h
0,125.685,0.0,100.0,1,70.0,2108.6108610861083,2083.3333333333335,0.0,True,5202.049999999999,0.0,25.685000000000002,10024.277527752774,25.277527752774972,0.0
1,125.685,0.0,100.0,1,69.31851652578136,2108.6108610861083,2083.3333333333335,0.0,True,5151.405555613442,0.0,25.685000000000002,10048.552627752772,25.277527752774972,0.0
2,125.685,0.0,100.0,1,67.32050807568878,2108.6108610861083,2083.3333333333335,0.0,True,5002.923557644811,0.0,25.685000000000002,10072.825300242772,25.277527752774972,0.0
3,125.685,0.0,100.0,1,64.14213562373095,2108.6108610861083,2083.3333333333335,0.0,True,4766.722808877566,0.0,25.685000000000002,10097.095545465523,25.277527752774972,0.0
4,125.685,0.0,100.0,1,60.0,2108.6108610861083,2083.3333333333335,0.0,True,4458.9,0.0,25.685000000000002,10121.363363663751,25.277527752774972,0.0
5,125.685,0.0,100.0,1,55.17638090205041,2108.6108610861083,2083.3333333333335,0.0,True,4100.432746735876,0.0,25.685000000000002,10145.628755080159,25.277527752774972,0.0
6,125.685,0.0,100.0,1,50.0,2108.6108610861083,2083.3333333333335,0.0,True,3715.75,0.0,25.685000000000002,10169.891719957426,25.277527752774972,0.0
7,125.685,0.0,100.0,1,44.82361909794959,2108.6108610861083,2083.3333333333335,0.0,True,3331.0672532641233,0.0,25.685000000000002,10194.152258538204,25.277527752774972,0.0
8,125.685,0.0,100.0,1,40.0,2108.6108610861083,2083.3333333333335,0.0,True,2972.6,0.0,25.685000000000002,10218.410371065125,25.277527752774972,0.0
9,125.685,0.0,100.0,1,35.85786437626905,2108.6108610861083,2083.3333333333335,0.0,True,2664.7771911224345,0.0,25.685000000000002,10242.666057780792,25.277527752774972,0.0
10,125.685,0.0,100.0,1,32.67949192431122,2108.6108610861083,2083.3333333333335,0.0,True,2428.5764423551886,0.0,25.685000000000002,10266.919318927788,25.277527752774972,0.0
11,125.685,0.0,100.0,1,30.681483474218638,2108.6108610861083,2083.3333333333335,0.0,True,2280.0944443865583,0.0,25.685000000000002,10291.17015474867,25.277527752774972,0.0
12,125.685,0.0,100.0,1,30.0,2108.6108610861083,2083.3333333333335,0.0,True,2229.45,0.0,25.685000000000002,10315.41856548597,25.277527752774972,0.0
13,125.685,0.0,100.0,1,30.681483474218634,2108.6108610861083,2083.3333333333335,0.0,True,2280.094444386558,0.0,25.685000000000002,10339.664551382197,25.277527752774972,0.0
14,125.685,0.0,100.0,1,32.67949192431122,2108.6108610861083,2083.3333333333335,0.0,True,2428.5764423551886,0.0,25.685000000000002,10363.908112679834,25.277527752774972,0.0
15,125.685,0.0,100.0,1,35.85786437626904,2108.6108610861083,2083.3333333333335,0.0,True,2664.7771911224336,0.0,25.685000000000002,10388.14924962134,25.277527752774972,0.0
16,123.69879058733841,0.0,100.0,1,39.99999999999999,2108.6108610861083,2083.3333333333335,0.0,True,3052.048376506463,0.0,23.698790587338408,10412.387962449153,25.277527752774915,0.0
